ReportDate,DataYearMonth,CompanyCode,CompanyName,Industry,CurrentRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyChangePercent,YearlyChangePercent,CumulativeCurrentRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Remarks
"1131117","11310","1101","台泥","水泥工業","16272067","13325249","9371746","22.114543600648663","73.62898012814262","121863413","90313749","34.93340089336785","2024/3/6起併入OYAK及Cimpor，以致營收較去年同期增加。"
"1131117","11310","1102","亞泥","水泥工業","6572799","6496635","6706168","1.1723607683054382","-1.9887512510870589","62010612","66945254","-7.371160321536759","-"
"1131117","11310","1103","嘉泥","水泥工業","228409","249964","257343","-8.62324174681154","-11.2433600292217","2441588","2372574","2.9088239186638645","-"
"1131117","11310","1104","環泥","水泥工業","641942","599242","654514","7.125668761535406","-1.920814528031486","6515381","6282268","3.7106503574823613","-"
"1131117","11310","1108","幸福","水泥工業","397720","417664","451146","-4.775130248237818","-11.842286089203938","3952710","4141653","-4.562019077889915","-"
"1131117","11310","1109","信大","水泥工業","348562","317761","531941","9.69313414799173","-34.47356003767335","3880738","5157727","-24.758755164823576","-"
"1131117","11310","1110","東泥","水泥工業","249922","289245","191120","-13.595049179761101","30.767057346169945","2322081","1832642","26.706743597494764","-"
"1131117","11310","1201","味全","食品工業","2045868","2134895","1894929","-4.170087990275868","7.965417173941609","19792280","17885259","10.662529404802022","-"
"1131117","11310","1203","味王","食品工業","537494","467801","504360","14.898001500638092","6.56951383932112","5055957","5223257","-3.202982353730632","-"
"1131117","11310","1210","大成","食品工業","8604252","8614876","8992288","-0.12332156609102674","-4.3152087655555516","85439292","92145772","-7.278120150754177","-"
"1131117","11310","1213","大飲","食品工業","18760","18428","403","1.801606251356631","4555.086848635236","157692","110319","42.94183232262802","本月積極推展業務,致使10月營收成長"
"1131117","11310","1215","卜蜂","食品工業","2457728","2273593","2382360","8.098854984159434","3.163585688141171","23088790","24332804","-5.112497515699383","-"
"1131117","11310","1216","統一","食品工業","54649449","57852278","49801476","-5.53621933435361","9.734597022787035","554449306","483652868","14.637861715316035","-"
"1131117","11310","1217","愛之味","食品工業","360149","487276","323973","-26.0893210418736","11.166362628984514","4422067","4280118","3.3164739850630287","-"
"1131117","11310","1218","泰山","食品工業","833404","985528","893674","-15.43578670519762","-6.744069985251893","9111426","9479640","-3.884261427649151","-"
"1131117","11310","1219","福壽","食品工業","1233040","1171870","1280865","5.219862271412358","-3.7338048896644063","11806192","13680823","-13.70261862170134","-"
